<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.24	03:00:00	3351.903	3357.912	3351.518	3352.476	6531	0	160
2025.06.24	04:00:00	3352.403	3353.419	3347.050	3348.605	6321	0	160
2025.06.24	05:00:00	3348.534	3348.744	3326.552	3332.044	14204	0	160
2025.06.24	06:00:00	3332.080	3333.123	3316.022	3322.736	18864	0	160
2025.06.24	07:00:00	3322.814	3331.754	3316.536	3329.645	17061	0	160
2025.06.24	08:00:00	3329.658	3332.320	3324.631	3327.323	10473	0	160
2025.06.24	09:00:00	3327.298	3328.755	3317.893	3318.575	9296	0	160
2025.06.24	10:00:00	3318.602	3327.663	3318.537	3325.485	6800	0	160
2025.06.24	11:00:00	3325.459	3328.955	3317.829	3321.214	9065	0	160
2025.06.24	12:00:00	3321.181	3321.181	3304.515	3314.737	18928	0	160
2025.06.24	13:00:00	3314.694	3317.953	3295.339	3301.966	26144	0	160
2025.06.24	14:00:00	3302.009	3310.279	3298.666	3304.519	18006	0	160
2025.06.24	15:00:00	3304.589	3317.066	3299.787	3313.261	13506	0	160
2025.06.24	16:00:00	3313.296	3320.489	3311.276	3318.424	7679	0	160
2025.06.24	17:00:00	3318.452	3321.223	3317.835	3317.926	7295	0	160
2025.06.24	18:00:00	3317.921	3319.030	3315.663	3317.119	5684	0	160
2025.06.24	19:00:00	3317.155	3325.184	3316.056	3323.479	6500	0	160
2025.06.24	20:00:00	3323.526	3324.444	3321.597	3323.086	3762	0	160
2025.06.24	22:00:00	3324.444	3324.444	3320.842	3321.641	3388	0	160
2025.06.24	23:00:00	3321.679	3324.882	3321.602	3324.142	2978	0	160
2025.06.25	00:00:00	3324.139	3330.081	3323.627	3326.955	6698	0	160
2025.06.25	01:00:00	3326.956	3334.887	3326.348	3334.572	8268	0	160
2025.06.25	02:00:00	3334.678	3335.209	3327.781	3329.444	6136	0	160
2025.06.25	03:00:00	3329.445	3332.002	3327.197	3328.295	5291	0	160
2025.06.25	04:00:00	3328.284	3329.235	3325.797	3327.509	3841	0	160
2025.06.25	05:00:00	3327.501	3333.742	3326.664	3331.625	5100	0	160
2025.06.25	06:00:00	3331.609	3333.466	3329.015	3331.652	5966	0	160
2025.06.25	07:00:00	3331.676	3337.096	3326.751	3330.631	8277	0	160
2025.06.25	08:00:00	3330.656	3332.414	3326.525	3327.223	7805	0	160
2025.06.25	09:00:00	3327.251	3327.323	3321.397	3325.283	7284	0	160
2025.06.25	10:00:00	3325.292	3329.569	3324.199	3324.430	6384	0	160
2025.06.25	11:00:00	3324.392	3329.548	3322.111	3322.667	7879	0	160
2025.06.25	12:00:00	3322.660	3329.499	3318.164	3320.609	8649	0	160
2025.06.25	13:00:00	3320.611	3321.621	3311.894	3314.539	12772	0	160
2025.06.25	14:00:00	3314.436	3326.368	3312.284	3323.404	11153	0	160
2025.06.25	15:00:00	3323.458	3327.194	3321.603	3325.627	7599	0	160
2025.06.25	16:00:00	3325.667	3335.147	3324.142	3334.802	7706	0	160
